245
8 5 27
31 5 24
0 3 20
38 1 5
2 7 5
12 15 25
6 1 9
0 2 17
43 1 13
3 1 8
41 6 6
34 0 10
6 2 28
15 7 27
41 2 10
40 2 17
12 1 15
13 3 20
32 2 5
40 7 8
45 1 16
21 3 11
17 1 27
20 25 4
31 21 7
31 8 28
7 1 22
31 12 19
34 1 17
5 22 4
20 1 14
25 12 12
8 18 26
17 3 11
14 1 8
41 3 13
16 3 3
49 3 9
15 31 16
19 0 14
37 7 21
13 16 12
17 1 6
35 4 21
31 22 23
48 1 29
49 2 26
36 0 29
2 11 17
7 2 5
28 8 9
33 3 16
51 1 22
33 1 20
18 4 28
25 18 12
26 0 22
43 1 13
28 10 16
50 1 14
14 6 5
1 10 14
23 8 11
51 1 16
31 14 6
33 1 21
42 4 29
42 7 17
10 11 17
44 1 25
0 15 17
13 16 21
12 24 18
20 30 25
15 31 7
27 1 21
7 1 21
42 2 3
22 26 27
37 1 24
17 1 6
33 0 13
10 17 3
41 2 26
10 6 25
25 17 3
10 4 23
41 7 11
38 4 11
20 4 29
9 23 15
14 13 18
50 1 5
17 3 12
24 1 18
19 4 6
49 1 19
47 2 20
24 11 18
27 2 22
39 3 15
0 18 25
27 11 23
50 2 22
18 3 3
29 17 3
21 24 5
53 2 10
10 4 5
31 6 4
26 0 16
2 20 15
46 1 11
22 1 16
50 2 8
9 0 24
21 24 18
35 0 24
13 6 18
48 2 21
27 11 23
20 12 7
26 0 22
15 0 18
24 11 4
12 16 28
35 2 6
14 7 20
16 2 8
32 2 14
11 10 28
21 16 10
18 4 15
18 0 6
15 7 19
9 9 27
51 1 11
43 0 14
49 0 29
33 1 19
39 8 19
38 2 17
49 1 7
39 0 7
13 20 3
51 0 27
7 1 18
19 5 4
43 3 22
13 8 10
8 4 20
53 0 24
47 1 4
40 9 23
40 3 28
11 8 12
51 0 23
35 2 26
6 2 18
16 3 24
24 1 16
49 0 29
20 25 24
14 8 14
35 4 5
45 2 24
53 1 22
35 0 15
29 5 7
42 7 25
9 14 3
50 1 29
16 2 27
8 17 22
7 1 26
16 1 15
50 0 13
50 1 21
30 23 9
47 1 22
22 6 14
19 0 4
28 7 15
29 10 28
45 3 16
48 0 14
43 0 7
2 21 16
26 0 16
9 5 12
48 4 23
2 5 14
47 2 7
45 1 16
18 1 4
48 1 7
50 0 7
38 0 28
9 7 24
40 7 21
38 0 15
0 3 19
14 4 6
23 12 29
30 0 13
26 0 17
27 5 13
7 1 16
52 1 23
14 32 3
25 10 27
39 9 20
51 2 8
38 7 21
3 17 24
36 4 10
35 3 26
13 21 15
51 1 20
50 0 9
33 3 5
12 1 20
37 4 9
31 10 19
41 3 21
25 2 21
31 7 15
45 4 6
45 3 20
47 0 23
37 7 4
3 10 7
41 0 28
26 0 16
31 21 15
28 3 6
36 2 9
31 16 15
9 9 11
48 0 16
22 19 14
10 15 12
34 3 20
11 17 18
1 9 14
